Participant;Series 1;Series 2;Series 3;Series 4;Series 5;Series 6;Series 7;Series 8;Series 9;Series 10;Series 11;Series 12
1;A;B;C;D;E;F;G;H;I;J;K;L
2;L;A;B;C;D;E;F;G;H;I;J;K
3;K;L;A;B;C;D;E;F;G;H;I;J
4;J;K;L;A;B;C;D;E;F;G;H;I
5;I;J;K;L;A;B;C;D;E;F;G;H
6;H;I;J;K;L;A;B;C;D;E;F;G
7;G;H;I;J;K;L;A;B;C;D;E;F
8;F;G;H;I;J;K;L;A;B;C;D;E
9;E;F;G;H;I;J;K;L;A;B;C;D
10;D;E;F;G;H;I;J;K;L;A;B;C
11;C;D;E;F;G;H;I;J;K;L;A;B
12;B;C;D;E;F;G;H;I;J;K;L;A
14;A;B;C;D;E;F;G;H;I;J;K;L
15;L;A;B;C;D;E;F;G;H;I;J;K
16;K;L;A;B;C;D;E;F;G;H;I;J
17;J;K;L;A;B;C;D;E;F;G;H;I
18;I;J;K;L;A;B;C;D;E;F;G;H
19;H;I;J;K;L;A;B;C;D;E;F;G
20;G;H;I;J;K;L;A;B;C;D;E;F
21;F;G;H;I;J;K;L;A;B;C;D;E
22;E;F;G;H;I;J;K;L;A;B;C;D
23;D;E;F;G;H;I;J;K;L;A;B;C
24;C;D;E;F;G;H;I;J;K;L;A;B